鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
前鎮區,建物,高雄市前鎮區中山二路241~270號,0.0,商,,,1050601,土地0建物1車位0,八層,30,辦公商業大樓,見其它登記事項,見其它登記事項,0891104,556.08,3,0,0,有,有,無,98095,176,,0.0,0,面積共計168.2坪,RPPNMLNLOHLFFCE18CC
前鎮區,房地(土地+建物),高雄市前鎮區中華五路961~990號,143.17,其他,,,1050617,土地2建物1車位0,見其它登記事項,12,店面(店鋪),住商用,鋼筋混凝土造,0830809,748.83,0,0,3,有,無,無,60000,80,,0.0,0,,RPRNMLNLOHLFFCE38CC
小港區,房地(土地+建物),高雄市小港區中山四路1~30號,145.0,住,,,1050623,土地1建物1車位0,一層,3,店面(店鋪),,鋼筋混凝土造,0671125,83.8,0,0,0,無,無,無,43000,513,,0.0,0,只承租一樓,RPUNMLNLOHLFFCE68CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050618,土地0建物1車位0,二十三層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,122.35,3,2,2,有,有,有,15000,123,,0.0,0,,RPXNMLNLOHLFFBE88CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050621,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,2000,,坡道平面,14.64,2000,,RPOOMLNLOHLFFBE08CC
苓雅區,車位,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1050622,土地0建物0車位1,,,其他,,,,0.0,0,0,0,有,有,無,1800,,坡道平面,13.32,1800,,RPPOMLNLOHLFFBE18CC
苓雅區,建物,高雄市前金區中山二路511~540號,0.0,商,,,1050623,土地0建物1車位0,四層,12,辦公商業大樓,,鋼筋混凝土造,0720305,46.07,0,0,0,無,有,無,9000,195,,0.0,0,,RPXPMLNLOHLFFBE09CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1050621,土地0建物1車位0,九層,12,辦公商業大樓,,鋼筋混凝土造,0781109,7.87,0,0,0,無,有,無,2500,318,,0.0,0,,RPOQMLNLOHLFFBE28CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1050621,土地0建物1車位0,八層,12,辦公商業大樓,,鋼筋混凝土造,0781109,44.43,0,0,0,無,有,無,6000,135,,0.0,0,,RPQQMLNLOHLFFBE48CC
前鎮區,房地(土地+建物),高雄市前鎮區永豐路181~210號,44.0,商,,,1050615,土地2建物1車位0,見其它登記事項,2,店面(店鋪),,加強磚造,0600402,67.14,0,0,0,無,無,有,12000,179,,0.0,0,,RPQOMLOLOHLFFCE48CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區篤敬路31~60號,17.1,商,,,1050622,土地1建物1車位1,六層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0841129,228.96,5,2,2,有,有,有,10000,44,坡道平面,0.0,0,,RPUNMLOLOHLFFAE58CC
三民區,土地,鼎新段421~450地號,239.86,住,,,1050620,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,37000,154,,0.0,0,,RPOPMLOLOHLFFDE48CC
左營區,房地(土地+建物)+車位,高雄市左營區榮德街181~210號,18.47,住,,,1050601,土地1建物1車位1,一層,10,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0860911,176.18,3,2,2,有,有,有,10000,57,坡道機械,16.67,0,,RPOOMLOLOHLFFEE48CC
仁武區,土地,仁雄段331~360地號,668.01,住,,,1050622,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,141400,212,,0.0,0,預計興建地上一層鐵皮屋，總建坪約121坪,RPSNMLOLOHLFFIE56CC
鳳山區,房地(土地+建物)+車位,高雄市鳳山區保華二路301~330號,19.65,住,,,1050525,土地1建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1031013,85.19,2,1,1,有,無,無,15000,176,坡道機械,27.84,0,,RPTOMLOLOHLFFGE56CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術東七街91~120號,9.52,商,,,1050624,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950220,92.93,2,1,1,有,有,有,15500,167,坡道機械,12.0,0,,RPSNMLPLOHLFFAE48CC
苓雅區,建物,高雄市苓雅區五福一路1~30號,0.0,,,,1050620,土地0建物1車位0,全,5,透天厝,,鋼筋混凝土造,0720207,288.43,0,0,0,無,無,有,130000,451,,0.0,0,租賃層次:地下一樓到二層,RPSNMLRLOHLFFBE78CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1050622,土地0建物1車位0,九層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0781109,45.88,0,0,0,無,有,無,7000,153,,0.0,0,,RPTNMLRLOHLFFBE88CC
左營區,房地(土地+建物),高雄市左營區辛亥路241~270號,5.11,商,,,1050601,土地1建物1車位0,一層,,住宅大樓(11層含以上有電梯),,,,123.0,1,1,1,有,無,有,55000,447,,0.0,0,,RPSNMLRLOHLFFEE09CC
三民區,房地(土地+建物),高雄市三民區建國三路1~30號,2.58,商,,,1050627,土地1建物1車位0,十層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840615,65.37,3,1,1,有,有,有,11000,168,,0.0,0,,RPOPMLRLOHLFFDE78CC
三民區,建物,高雄市三民區建國三路271~300號,0.0,商,,,1050627,土地0建物1車位0,三層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0831101,32.2,0,0,0,無,有,有,5000,155,,0.0,0,租5000元租金含.水費.附家具家電網路第四台,RPRPMLRLOHLFFDE09CC
三民區,房地(土地+建物),高雄市三民區澄清路691~720號,108.0,住,,,1050624,土地1建物1車位0,全,5,透天厝,,鋼筋混凝土造,0690221,198.65,0,0,0,無,無,無,40000,201,,0.0,0,1.租賃層次:承租方只承租1+2+3層,RPTPMLRLOHLFFDE66CC
三民區,房地(土地+建物)+車位,高雄市三民區大昌二路61~90號,60.71,住,,,1050601,土地1建物3車位3,七層,12,辦公商業大樓,,鋼筋混凝土造,0800301,504.31999999999994,0,0,0,無,有,無,48000,95,坡道機械,0.0,0,,RPUPMLRLOHLFFDE76CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳甲路511~540號,21.19,住,,,1050624,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0900622,94.48,2,2,1,有,無,無,10000,106,,0.0,0,,RPPNMLRLOHLFFGE98CC
鳳山區,房地(土地+建物),高雄市鳳山區新甲路91~120號,17.21,住,,,1050615,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810910,99.18,3,2,2,有,有,無,9500,96,,0.0,0,,RPPPMLRLOHLFFGE56CC
鳳山區,房地(土地+建物),高雄市鳳山區新強路61~90號,83.0,住,,,1050624,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0690109,133.98,3,2,3,有,無,無,15000,112,,0.0,0,,RPUNMLSLOHLFFGE96CC
鳳山區,建物,高雄市鳳山區文教路121~150號,0.0,,,,1050624,土地0建物3車位0,見其他登記事項,1,店面(店鋪),見其他登記事項,見其他登記事項,1041026,639.98,0,0,0,無,無,無,185000,289,,0.0,0,,RPXNMLSLOHLFFGE27CC
大社區,土地,尖山腳段1081~1110地號,364.0,,一般農業區,農牧用地,1050607,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,29400,81,,0.0,0,,RPRNMLSLOHLFFIE86CC
新興區,房地(土地+建物),高雄市新興區中山一路241~270號,206.0,商,,,1050623,土地1建物1車位0,一層,4,店面(店鋪),,鋼筋混凝土造,0710510,323.57,0,0,0,無,無,無,45000,139,,0.0,0,租賃層次為一層(152.11平方公尺)及三層(171.46平方公尺),RPSNMLSLOHLFFBE98DC
岡山區,房地(土地+建物),高雄市岡山區中華路61~90號,93.0,住,,,1050628,土地1建物1車位0,全,3,透天厝,住商用,加強磚造,0640901,119.28,5,2,4,有,無,有,18000,151,,0.0,0,,RPXNMLSLOHLFFFE17CC
大寮區,房地(土地+建物),高雄市大寮區鳳屏一路271~300號,343.66,住,,,1050627,土地4建物2車位0,一層,4,店面(店鋪),見其他登記事項,鋼筋混凝土造,0960328,329.0,0,0,0,無,無,無,65000,198,,0.0,0,,RPTNMLSLOHLFFLE37CC
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德豐街151~180號,23.67,住,,,1050601,土地1建物1車位1,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1011123,167.16,3,2,2,有,有,無,16000,96,坡道平面,24.29,0,租金己含車位租金,RPVQMLSLOHLFFEE17CC
鼓山區,房地(土地+建物),高雄市鼓山區文忠路91~120號,11.48,商,,,1050626,土地1建物1車位0,十六層,21,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840309,148.73000000000002,4,2,2,有,有,無,16000,108,,0.0,0,,RPPNMLSLOHLFFAE48CC
前金區,房地(土地+建物),高雄市前金區中華三路181~210號,213.0,商,,,1050627,土地2建物2車位0,全,4,透天厝,,加強磚造,0461231,614.3,0,0,0,無,無,無,110000,179,,0.0,0,,RPSNMLSLOHLFFAE78CC
鼓山區,建物,高雄市鼓山區美術東八街91~120號,0.0,商,,,1050608,土地0建物1車位0,二十二層,23,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921202,200.72,3,2,2,有,無,有,31000,154,,0.0,0,,RPTNMLSLOHLFFAE88CC
鼓山區,房地(土地+建物)+車位,高雄市鼓山區美術館路181~210號,18.02,住,,,1050628,土地1建物1車位1,六層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0921128,139.72,3,2,2,有,無,有,22000,157,坡道平面,24.05,0,,RPSOMLSLOHLFFAE88CC
小港區,房地(土地+建物),高雄市小港區康莊路88巷1~30號,4812.0,其他,,,1050629,土地1建物1車位0,八層,15,住宅大樓(11層含以上有電梯),見其它登記事項,鋼筋混凝土造,0861120,165.6,4,2,2,有,無,無,10000,60,,0.0,0,,RPVNMLTLOHLFFCE76CC
苓雅區,房地(土地+建物),高雄市苓雅區新光路62巷1~30號,4.8,住,,,1050604,土地1建物1車位0,四層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,113.28,3,2,2,有,有,有,12000,106,,0.0,0,,RPROMLTLOHLFFBE98CC
