鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
汐止區,房地(土地+建物),新北市汐止區大同路二段184巷1~30號,0.0,住,,,1050604,土地2建物1車位0,二層,22,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870903,92.49,2,2,1,有,有,有,18000,195,,0.0,0,,RPPNMLPJOHLFFDF38CC
三重區,建物,新北市三重區大智街91~120號,0.0,住,,,1050512,土地0建物1車位0,三層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820702,128.17,4,2,2,有,有,無,19000,148,,0.0,0,,RPPOMLQJOHLFFGF88CC
三重區,建物,新北市三重區重新路五段631~660號,0.0,工,,,1050512,土地0建物1車位0,三層,14,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0970220,266.17,6,2,0,有,有,有,60000,225,,0.0,0,,RPVNMLQJOHLFFGF86DC
永和區,建物,新北市永和區保生路1~30號,0.0,其他,,,1050515,土地0建物1車位0,二十一層,23,辦公商業大樓,商業用,鋼骨混凝土造,0810320,63.67,0,0,0,無,有,無,27500,432,,0.0,0,部分承租，更正第5及20欄，撤銷原序號C1FH10506010008,RPTOMLQJOHLFFHF76CC
板橋區,建物,新北市板橋區金門街369巷1~30號,0.0,住,,,1050526,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021015,122.83,3,2,2,有,有,無,22000,179,坡道平面,30.47,0,,RPUOMLQJOHLFFAF78CC
淡水區,房地(土地+建物)+車位,新北市淡水區義山路一段1~30號,19.68,住,,,1050521,土地1建物1車位1,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040430,90.34,2,2,1,有,有,無,14500,161,坡道平面,31.66,0,租金含管理費,RPSNMLQJOHLFFEF88CC
淡水區,建物,新北市淡水區北新路211~240號,0.0,住,,,1050531,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980116,66.48,1,1,1,有,有,有,12000,181,,0.0,0,,RPTOMLQJOHLFFEF09CC
淡水區,房地(土地+建物)+車位,新北市淡水區民權路151~180號,36.36,其他,,,1050605,土地1建物1車位1,二層,5,公寓(5樓含以下無電梯),見其他登記事項,鋼筋混凝土造,0940818,183.53,4,2,2,有,無,無,20000,109,坡道平面,0.0,0,,RPWOMLQJOHLFFEF76CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市一路一段31~60號,18.93,住,,,1050504,土地1建物1車位1,十八層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000214,135.15,3,2,2,有,有,有,28380,210,坡道平面,24.57,0,,RPTPMLQJOHLFFEF76EC
淡水區,建物,新北市淡水區新市一路二段241~270號,0.0,住,,,1050524,土地0建物1車位0,五層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960910,93.48,3,2,2,有,有,無,14000,150,,0.0,0,,RPTPMLRJOHLFFEF66CC
新店區,房地(土地+建物)+車位,新北市新店區北新路三段181~210號,65.39,工,,,1050527,土地1建物1車位5,六層,15,廠辦,見其他登記事項,見其他登記事項,0910523,618.27,0,0,0,無,有,有,160000,259,坡道平面,220.14,0,,RPXNMLRJOHLFFCF66CC
新店區,建物,新北市新店區環河路31~60號,0.0,住,,,1050508,土地0建物1車位0,二十四層,34,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0880826,62.3,2,2,2,有,有,無,15000,241,,0.0,0,,RPQOMLRJOHLFFCF68CC
新店區,房地(土地+建物)+車位,新北市新店區寶興路45巷2弄61~90號,33.18,住,,,1050514,土地1建物1車位1,十三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980922,222.47,4,2,2,有,有,無,33949,153,坡道平面,34.16,0,,RPVOMLRJOHLFFCF56CC
新店區,建物,新北市新店區涵碧路1~30號,0.0,其他,,,1050524,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0841230,71.24,2,1,1,有,有,無,14000,197,,0.0,0,,RPXOMLRJOHLFFCF76CC
