鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
左營區,土地,福山段541~570地號,1170.55,住,,,1050501,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,173000,148,,0.0,0,,RPTNMLOLNHLFFEE78CC
楠梓區,房地(土地+建物),高雄市楠梓區健民街28巷1~30號,80.0,住,,,1031201,土地1建物1車位0,全,2,透天厝,,加強磚造,0640301,85.28,6,2,2,有,無,無,12000,141,,0.0,0,,RPVNMLOLNHLFFEE98CC
左營區,房地(土地+建物),高雄市左營區安吉街241~270號,7.43,商,,,1050501,土地1建物1車位0,十四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0951128,80.34,2,2,1,有,有,有,17000,212,,0.0,0,,RPSOMLOLNHLFFEE78CC
左營區,房地(土地+建物),高雄市左營區民族一路1101巷1~30號,14.76,住,,,1050501,土地1建物1車位0,一層,11,住宅大樓(11層含以上有電梯),住商用,見使用執照,0891030,128.51,3,1,2,有,有,無,16000,125,,0.0,0,1+夾層。租金未稅。房屋稅之營業部分由承租人補繳給出租人。,RPTQMLOLNHLFFEE09CC
左營區,房地(土地+建物),高雄市左營區榮總路463巷1~30號,60.0,住,,,1050501,土地1建物1車位0,全,2,透天厝,,鋼筋混凝土造,0740106,98.57,3,2,2,有,無,有,7500,76,,0.0,0,房屋有漏水，現況出租。,RPXQMLOLNHLFFEE86CC
三民區,房地(土地+建物),高雄市三民區熱河一街361~390號,81.0,住,,,1050504,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0540601,99.06,3,0,2,有,無,有,46000,464,,0.0,0,,RPQNMLOLNHLFFDE38CC
三民區,房地(土地+建物),高雄市三民區察哈爾2街7巷19弄1~30號,13.49,商,,,1050516,土地1建物1車位0,四層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0770609,151.58,3,2,2,有,有,有,10000,66,,0.0,0,,RPROMLOLNHLFFDE58CC
苓雅區,房地(土地+建物),高雄市苓雅區成功一路61~90號,26.2,商,,,1050524,土地1建物1車位0,一層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0780603,229.88,0,0,0,無,無,無,34000,148,,0.0,0,1-3樓,RPPNMLOLNHLFFBE08CC
苓雅區,建物,高雄市苓雅區四維三路241~270號,0.0,商,,,1050517,土地0建物1車位0,八層,12,辦公商業大樓,,鋼筋混凝土造,0781109,102.28,0,0,0,無,有,無,15000,147,,0.0,0,,RPVNMLOLNHLFFBE68CC
新興區,房地(土地+建物)+車位,高雄市新興區七賢一路481~510號,36.54,商,,,1050520,土地1建物1車位2,見其他登記事項,15,店面(店鋪),住商用,鋼筋混凝土造,0981222,440.7,0,0,0,無,有,無,120000,272,坡道平面,47.34,0,,RPUNMLPLNHLFFBE68CC
